ADOSSAT 01D;MARINA'92 - NOU ESCAR 07B
ADOSSAT 01D;MARINA'92 - NOU ESCAR 08A
ADOSSAT 01D;MARINA'92 - NOU ESCAR 09A
ADOSSAT 01D;MARINA'92 (NORD) 07C
ADOSSAT 01D;MOLL DEL DIC FLOTANT 03B
ADOSSAT 01D;MOLL DEL DIC SEC 03C
ADOSSAT 01D;OCCIDENTAL 05B
ADOSSAT 01D;ORIENTAL  03A
ADOSSAT 01D;P. DE LA PAU - DRASSANES 17B
ADOSSAT 01D;PESCADORS - BALEARS 10A
ADOSSAT 01D;PESCADORS - BALEARS 10B
ADOSSAT 01D;PESCADORS - BALEARS 10C
ADOSSAT 01D;PESCADORS - BALEARS 11B
ADOSSAT 01D;PONIENTE 20B
ADOSSAT 01D;RELLOTGE 12A
ADOSSAT 01D;SANT BERTRAN 19A
ADOSSAT 01D;SANT BERTRAN 19B
ALVAREZ DE LA CAMPA 26A;CONTRADIC (NORD) 22A
ALVAREZ DE LA CAMPA 26A;DARSENA INTERIOR A 31A
ALVAREZ DE LA CAMPA 26A;DARSENA INTERIOR B 31B
ALVAREZ DE LA CAMPA 26A;DARSENA SUD 30C
ALVAREZ DE LA CAMPA 26A;DARSENA SUR 30A
ALVAREZ DE LA CAMPA 26A;DARSENA SUR 30B
ALVAREZ DE LA CAMPA 26A;Dique SUR
ALVAREZ DE LA CAMPA 26A;First Line
ALVAREZ DE LA CAMPA 26A;INFLAMMABLES 32A
ALVAREZ DE LA CAMPA 26A;INFLAMMABLES 32B
ALVAREZ DE LA CAMPA 26A;INFLAMMABLES 32C
ALVAREZ DE LA CAMPA 26A;INFLAMMABLES 32E
ALVAREZ DE LA CAMPA 26A;INFLAMMABLES 32F
ALVAREZ DE LA CAMPA 26A;INFLAMMABLES 32G
ALVAREZ DE LA CAMPA 26A;INFLAMMABLES 33B
ALVAREZ DE LA CAMPA 26A;INFLAMMABLES 34B
ALVAREZ DE LA CAMPA 26A;LEPANTO 27A
ALVAREZ DE LA CAMPA 26A;LEPANTO 27B
ALVAREZ DE LA CAMPA 26A;PONIENTE 20A
ALVAREZ DE LA CAMPA 26A;PONIENTE 20C
ALVAREZ DE LA CAMPA 26A;PONIENTE 20D
ALVAREZ DE LA CAMPA 26A;PRAT 36A
ALVAREZ DE LA CAMPA 26A;SUD (EN ESPERA) 24X
ALVAREZ DE LA CAMPA 26A;SUD (SUD) 24C
ALVAREZ DE LA CAMPA 26A;SUR (EST) 24B
ALVAREZ DE LA CAMPA 26A;SUR (NORD) 24A
BARCELONA 18A;BARCELONA 18B
BARCELONA 18A;BARCELONA 18C
BARCELONA 18A;BOSCHI ALSINA 16A
BARCELONA 18A;CATALUNYA 06C
BARCELONA 18A;CONTRADIC (EST) 22B
BARCELONA 18A;DIC SEC 04A
BARCELONA 18A;DIPOSIT 14A
BARCELONA 18A;ESPANYA 15A
BARCELONA 18A;ESPANYA 15B
BARCELONA 18A;First Line
BARCELONA 18A;LLEVANT 02B
BARCELONA 18A;LLEVANT 02D
BARCELONA 18A;LLEVENT 02C
BARCELONA 18A;MARINA'92 - NOU ESCAR 07A
BARCELONA 18A;MARINA'92 - NOU ESCAR 07B
BARCELONA 18A;MARINA'92 - NOU ESCAR 08A
BARCELONA 18A;MARINA'92 - NOU ESCAR 09A
BARCELONA 18A;MARINA'92 (NORD) 07C
BARCELONA 18A;MOLL DEL DIC FLOTANT 03B
BARCELONA 18A;MOLL DEL DIC SEC 03C
BARCELONA 18A;OCCIDENTAL 05B
BARCELONA 18A;ORIENTAL  03A
BARCELONA 18A;P. DE LA PAU - DRASSANES 17B
BARCELONA 18A;PESCADORS - BALEARS 10A
BARCELONA 18A;PESCADORS - BALEARS 10B
BARCELONA 18A;PESCADORS - BALEARS 11B
BARCELONA 18A;PONIENTE 20B
BARCELONA 18A;RELLOTGE 12A
BARCELONA 18A;SANT BERTRAN 19A
BARCELONA 18A;SANT BERTRAN 19B
BARCELONA 18B;BOSCHI ALSINA 16A
BARCELONA 18B;CATALUNYA 06C
BARCELONA 18B;DIPOSIT 14A
BARCELONA 18B;ESPANYA 15B
BARCELONA 18B;First Line
BARCELONA 18B;LLEVANT 02B
BARCELONA 18B;LLEVANT 02D
BARCELONA 18B;LLEVENT 02C
BARCELONA 18B;MARINA'92 - NOU ESCAR 07A
BARCELONA 18B;P. DE LA PAU - DRASSANES 17B
BARCELONA 18B;PESCADORS - BALEARS 10A
BARCELONA 18B;PESCADORS - BALEARS 10B
BARCELONA 18B;PESCADORS - BALEARS 11B
BARCELONA 18B;PONIENTE 20B
BARCELONA 18C;BARCELONA 18B
BARCELONA 18C;BOSCHI ALSINA 16A
BARCELONA 18C;CATALUNYA 06C
BARCELONA 18C;DIPOSIT 14A
BARCELONA 18C;ESPANYA 15B
BARCELONA 18C;First Line
BARCELONA 18C;LLEVANT 02B
BARCELONA 18C;LLEVANT 02D
BARCELONA 18C;LLEVENT 02C
BARCELONA 18C;MARINA'92 - NOU ESCAR 07A
BARCELONA 18C;MARINA'92 - NOU ESCAR 08A
BARCELONA 18C;MARINA'92 (NORD) 07C
BARCELONA 18C;MOLL DEL DIC FLOTANT 03B
BARCELONA 18C;OCCIDENTAL 05B
BARCELONA 18C;P. DE LA PAU - DRASSANES 17B
BARCELONA 18C;PESCADORS - BALEARS 10A
BARCELONA 18C;PESCADORS - BALEARS 10B
BARCELONA 18C;PESCADORS - BALEARS 11B
BARCELONA 18C;PONIENTE 20B
BARCELONA 18C;RELLOTGE 12A
BARCELONETA 13A;BARCELONA 18A
BARCELONETA 13A;BARCELONA 18B
BARCELONETA 13A;BARCELONA 18C
BARCELONETA 13A;BOSCHI ALSINA 16A
BARCELONETA 13A;CATALUNYA 06C
BARCELONETA 13A;CONTRADIC (EST) 22B
BARCELONETA 13A;DIC SEC 04A
BARCELONETA 13A;DIPOSIT 14A
BARCELONETA 13A;ESPANYA 15A
BARCELONETA 13A;ESPANYA 15B
BARCELONETA 13A;First Line
BARCELONETA 13A;LLEVANT 02B
BARCELONETA 13A;LLEVANT 02D
BARCELONETA 13A;LLEVENT 02C
BARCELONETA 13A;MARINA'92 - NOU ESCAR 07A
BARCELONETA 13A;MARINA'92 - NOU ESCAR 07B
BARCELONETA 13A;MARINA'92 - NOU ESCAR 08A
BARCELONETA 13A;MARINA'92 - NOU ESCAR 09A
BARCELONETA 13A;MARINA'92 (NORD) 07C
BARCELONETA 13A;MOLL DEL DIC FLOTANT 03B
BARCELONETA 13A;MOLL DEL DIC SEC 03C
BARCELONETA 13A;OCCIDENTAL 05B
BARCELONETA 13A;ORIENTAL  03A
BARCELONETA 13A;P. DE LA PAU - DRASSANES 17B
BARCELONETA 13A;PESCADORS - BALEARS 10A
BARCELONETA 13A;PESCADORS - BALEARS 10B
BARCELONETA 13A;PESCADORS - BALEARS 10C
BARCELONETA 13A;PESCADORS - BALEARS 11B
BARCELONETA 13A;PONIENTE 20B
BARCELONETA 13A;RELLOTGE 12A
BARCELONETA 13A;SANT BERTRAN 19A
BARCELONETA 13A;SANT BERTRAN 19B
Bocana N;ADOSSAT 00A
